Portfolio,Geography,Category,Brand,Segment,Initial_Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Skin/Body,South America,Tools,Bobbi Brown,Fragrance,2305808,46,-1,3,7,14
Hair/APDO,South America,Make Up Brushes,Balmain,Fragrance,1437841,49,0,15,4,30
Fragrance + Color Cosmetics,Europe,Fragrance,Aveda,Bronzer,1707068,55,-5,15,5,40
Skin/Body,South America,Face Make-Up,Elizabeth Arden,Fragrance,3355994,50,0,7,6,15
Skin/Body,North America,Fragrance,Balmain,Bronzer,4342323,39,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Balmain,Mascara,2424401,54,-5,15,5,40
Skin/Body,North America,Face Make-Up,Frederic Malle,Bronzer,4706419,35,-3,4,5,40
Hair/APDO,Asia,Tools,Bobbi Brown,Mascara,2548891,39,-1,3,7,14
Hair/APDO,Asia,Hair Dye,Aveda,Lipstick,3622951,52,0,15,4,30
Skin/Body,Asia,Tools,Elizabeth Arden,Mascara,1464918,30,0,7,6,15
Hair/APDO,Europe,Face Make-Up,Frederic Malle,Mascara,3333552,47,-3,4,4,30
Fragrance + Color Cosmetics,Asia,Fragrance,Bobbi Brown,Toner,3027576,37,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Fragrance,Kilian,Toner,3430639,60,-5,15,5,40
Fragrance + Color Cosmetics,North America,Tools,Kilian,Mascara,3127144,59,-5,15,5,40
Skin/Body,North America,Fragrance,Aveda,Lipstick,3119980,50,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4199181,58,-1,3,7,14
Fragrance + Color Cosmetics,South America,Hair Dye,Frederic Malle,Fragrance,3890742,38,-3,4,5,40
Hair/APDO,North America,Face Make-Up,Kilian,Lipstick,2076590,50,0,15,4,30
Skin/Body,Asia,Hair Dye,Aveda,Toner,3860160,57,-5,15,5,40
Skin/Body,Asia,Fragrance,Balmain,Bronzer,4495609,35,-5,15,5,40
Hair/APDO,South America,Hair Dye,Frederic Malle,Lipstick,725049,32,-3,4,4,30
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Aveda,Fragrance,2880932,55,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Tools,Bobbi Brown,Bronzer,3017334,44,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Hair Dye,Bobbi Brown,Toner,3310860,40,-1,3,7,14
Skin/Body,South America,Face Make-Up,Aveda,Bronzer,2201667,44,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Aveda,Fragrance,1857133,51,0,15,4,30
Skin/Body,Asia,Tools,Bobbi Brown,Toner,1752078,58,-1,3,7,14
Hair/APDO,Asia,Hair Dye,Bobbi Brown,Mascara,1198956,31,-1,3,7,14
Fragrance + Color Cosmetics,North America,Face Make-Up,Bobbi Brown,Mascara,4757950,36,-1,3,7,14
Hair/APDO,South America,Fragrance,Frederic Malle,Fragrance,655683,39,-3,4,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Bobbi Brown,Fragrance,4692814,39,-1,3,7,14
Hair/APDO,North America,Tools,Elizabeth Arden,Bronzer,3829049,38,0,7,6,15
Skin/Body,South America,Hair Dye,Frederic Malle,Lipstick,2275767,58,-3,4,5,40
Skin/Body,Europe,Face Make-Up,Aveda,Bronzer,1997618,47,-5,15,5,40
Hair/APDO,Europe,Fragrance,Frederic Malle,Toner,3058944,33,-3,4,4,30
Hair/APDO,Europe,Tools,Kilian,Toner,1512384,41,0,15,4,30
Hair/APDO,North America,Fragrance,Elizabeth Arden,Fragrance,4900072,44,0,7,6,15
Fragrance + Color Cosmetics,North America,Tools,Kilian,Lipstick,757681,31,-5,15,5,40
Hair/APDO,Europe,Tools,Kilian,Lipstick,4887814,40,0,15,4,30
Fragrance + Color Cosmetics,South America,Make Up Brushes,Frederic Malle,Mascara,3758084,36,-3,4,5,40
Skin/Body,Asia,Face Make-Up,Kilian,Lipstick,4810796,56,-5,15,5,40
Skin/Body,Asia,Hair Dye,Bobbi Brown,Fragrance,4577716,41,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Hair Dye,Balmain,Bronzer,4668962,58,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Bobbi Brown,Mascara,1280641,35,-1,3,7,14
Hair/APDO,Europe,Make Up Brushes,Elizabeth Arden,Bronzer,3051331,55,0,7,6,15
Skin/Body,North America,Tools,Kilian,Mascara,3996605,59,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Kilian,Bronzer,2768115,37,-5,15,5,40
Hair/APDO,Asia,Tools,Bobbi Brown,Toner,2626453,37,-1,3,7,14
Skin/Body,Asia,Make Up Brushes,Kilian,Lipstick,2814181,59,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Aveda,Bronzer,3115804,35,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Fragrance,715400,31,-3,4,5,40
Skin/Body,Europe,Face Make-Up,Kilian,Lipstick,4094058,30,-5,15,5,40
Hair/APDO,Asia,Hair Dye,Bobbi Brown,Mascara,4235466,52,-1,3,7,14
Hair/APDO,Europe,Make Up Brushes,Aveda,Bronzer,4398606,39,0,15,4,30
Skin/Body,Europe,Hair Dye,Aveda,Toner,4886007,59,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Face Make-Up,Bobbi Brown,Lipstick,3233460,44,-1,3,7,14
Hair/APDO,Europe,Face Make-Up,Frederic Malle,Toner,1752557,47,-3,4,4,30
Fragrance + Color Cosmetics,Asia,Hair Dye,Kilian,Mascara,4102684,54,-5,15,5,40
Fragrance + Color Cosmetics,North America,Make Up Brushes,Elizabeth Arden,Lipstick,4840092,43,0,7,6,15
Hair/APDO,South America,Fragrance,Elizabeth Arden,Lipstick,1990036,42,0,7,6,15
Fragrance + Color Cosmetics,Asia,Tools,Frederic Malle,Bronzer,1056110,54,-3,4,5,40
Skin/Body,Asia,Make Up Brushes,Bobbi Brown,Fragrance,1713261,60,-1,3,7,14
Fragrance + Color Cosmetics,North America,Make Up Brushes,Elizabeth Arden,Fragrance,2421277,40,0,7,6,15
Fragrance + Color Cosmetics,Asia,Face Make-Up,Balmain,Fragrance,2115777,48,-5,15,5,40
Fragrance + Color Cosmetics,North America,Hair Dye,Elizabeth Arden,Toner,2033854,47,0,7,6,15
Hair/APDO,North America,Face Make-Up,Kilian,Toner,1750632,50,0,15,4,30
Fragrance + Color Cosmetics,Europe,Face Make-Up,Bobbi Brown,Lipstick,2119715,33,-1,3,7,14
Hair/APDO,Asia,Fragrance,Aveda,Bronzer,4146259,49,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Bronzer,2930525,60,-5,15,5,40
Skin/Body,South America,Face Make-Up,Bobbi Brown,Fragrance,4501412,58,-1,3,7,14
Fragrance + Color Cosmetics,South America,Hair Dye,Elizabeth Arden,Toner,704366,50,0,7,6,15
Skin/Body,Europe,Hair Dye,Aveda,Lipstick,2226676,42,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Tools,Aveda,Fragrance,1202436,47,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Kilian,Toner,3107411,46,-5,15,5,40
Hair/APDO,North America,Hair Dye,Elizabeth Arden,Bronzer,2463571,31,0,7,6,15
Fragrance + Color Cosmetics,Asia,Face Make-Up,Kilian,Fragrance,1317052,49,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Tools,Frederic Malle,Fragrance,1601928,46,-3,4,5,40
Skin/Body,Asia,Fragrance,Kilian,Lipstick,942939,31,-5,15,5,40
Skin/Body,North America,Hair Dye,Frederic Malle,Mascara,2819124,57,-3,4,5,40
Hair/APDO,South America,Hair Dye,Balmain,Lipstick,3588272,44,0,15,4,30
Hair/APDO,Asia,Tools,Balmain,Fragrance,2661088,41,0,15,4,30
Hair/APDO,North America,Tools,Kilian,Toner,4555447,30,0,15,4,30
Hair/APDO,Asia,Fragrance,Aveda,Bronzer,4264455,50,0,15,4,30
Fragrance + Color Cosmetics,South America,Make Up Brushes,Balmain,Bronzer,4404722,44,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Balmain,Toner,3675684,55,0,15,4,30
Skin/Body,Europe,Hair Dye,Elizabeth Arden,Bronzer,2745854,46,0,7,6,15
Skin/Body,North America,Hair Dye,Frederic Malle,Toner,4570211,46,-3,4,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Kilian,Mascara,4518365,52,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Aveda,Bronzer,3400737,41,0,15,4,30
Fragrance + Color Cosmetics,North America,Tools,Bobbi Brown,Mascara,3793705,40,-1,3,7,14
Hair/APDO,North America,Hair Dye,Kilian,Lipstick,2373722,37,0,15,4,30
Fragrance + Color Cosmetics,Asia,Hair Dye,Kilian,Mascara,2019603,51,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Tools,Bobbi Brown,Toner,4778384,43,-1,3,7,14
Skin/Body,South America,Hair Dye,Elizabeth Arden,Lipstick,4613640,41,0,7,6,15
Hair/APDO,Europe,Tools,Aveda,Fragrance,1366183,59,0,15,4,30
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Balmain,Toner,2620539,54,-5,15,5,40
Skin/Body,North America,Hair Dye,Frederic Malle,Fragrance,817875,50,-3,4,5,40
Hair/APDO,Europe,Face Make-Up,Bobbi Brown,Fragrance,2099908,51,-1,3,7,14
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Toner,529725,52,0,7,6,15
Hair/APDO,Asia,Fragrance,Aveda,Mascara,3013024,55,0,15,4,30
Skin/Body,South America,Fragrance,Bobbi Brown,Toner,4411146,39,-1,3,7,14
Skin/Body,Europe,Tools,Elizabeth Arden,Toner,2149729,56,0,7,6,15
Skin/Body,Asia,Tools,Kilian,Bronzer,2181641,33,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Kilian,Lipstick,4210388,31,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Balmain,Toner,3121038,34,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Frederic Malle,Toner,4368452,55,-3,4,5,40
Fragrance + Color Cosmetics,North America,Tools,Frederic Malle,Bronzer,4601036,57,-3,4,5,40
Skin/Body,South America,Make Up Brushes,Aveda,Toner,3170308,53,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Bobbi Brown,Mascara,1794929,59,-1,3,7,14
Hair/APDO,South America,Make Up Brushes,Bobbi Brown,Toner,4307085,46,-1,3,7,14
Hair/APDO,Europe,Tools,Bobbi Brown,Mascara,4183444,35,-1,3,7,14
Hair/APDO,Asia,Face Make-Up,Aveda,Bronzer,790998,59,0,15,4,30
Skin/Body,South America,Fragrance,Frederic Malle,Bronzer,2944026,46,-3,4,5,40
Hair/APDO,South America,Face Make-Up,Kilian,Bronzer,4084197,51,0,15,4,30
Hair/APDO,South America,Make Up Brushes,Balmain,Lipstick,4290328,55,0,15,4,30
Skin/Body,Europe,Hair Dye,Balmain,Fragrance,3739536,40,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Tools,Elizabeth Arden,Lipstick,4502713,56,0,7,6,15
Hair/APDO,North America,Tools,Aveda,Bronzer,2849316,46,0,15,4,30
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Mascara,4434999,32,0,7,6,15
Skin/Body,Asia,Fragrance,Elizabeth Arden,Bronzer,3027419,41,0,7,6,15
Skin/Body,South America,Make Up Brushes,Kilian,Bronzer,3071165,50,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Balmain,Bronzer,1467561,43,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Kilian,Fragrance,4421451,35,-5,15,5,40
Skin/Body,North America,Make Up Brushes,Balmain,Bronzer,1305113,47,-5,15,5,40
Hair/APDO,North America,Tools,Bobbi Brown,Mascara,2103546,30,-1,3,7,14
Hair/APDO,Europe,Hair Dye,Balmain,Bronzer,4235444,53,0,15,4,30
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Lipstick,4057689,34,0,7,6,15
Skin/Body,Europe,Tools,Balmain,Mascara,4267255,34,-5,15,5,40
Skin/Body,South America,Face Make-Up,Kilian,Fragrance,3998408,41,-5,15,5,40
Skin/Body,Europe,Tools,Bobbi Brown,Mascara,4823654,54,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Fragrance,3784321,58,-5,15,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Elizabeth Arden,Lipstick,1879904,46,0,7,6,15
Fragrance + Color Cosmetics,North America,Tools,Frederic Malle,Lipstick,3329455,31,-3,4,5,40
Hair/APDO,North America,Make Up Brushes,Elizabeth Arden,Bronzer,1597353,56,0,7,6,15
Hair/APDO,Asia,Face Make-Up,Kilian,Fragrance,1088158,49,0,15,4,30
Fragrance + Color Cosmetics,Asia,Tools,Elizabeth Arden,Bronzer,2711738,57,0,7,6,15
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,3727544,46,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Mascara,521253,49,-5,15,5,40
Hair/APDO,Asia,Fragrance,Balmain,Mascara,1450162,40,0,15,4,30
Skin/Body,South America,Face Make-Up,Bobbi Brown,Mascara,622775,37,-1,3,7,14
Skin/Body,Asia,Tools,Aveda,Lipstick,2769070,44,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Bronzer,1756715,49,-3,4,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Toner,4302986,56,-5,15,5,40
Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Fragrance,779215,57,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Elizabeth Arden,Toner,4233003,38,0,7,6,15
Hair/APDO,Europe,Fragrance,Aveda,Fragrance,2974653,50,0,15,4,30
Skin/Body,Europe,Make Up Brushes,Bobbi Brown,Mascara,1032726,60,-1,3,7,14
Hair/APDO,North America,Fragrance,Balmain,Lipstick,3092536,33,0,15,4,30
Fragrance + Color Cosmetics,Europe,Tools,Balmain,Fragrance,3743484,57,-5,15,5,40
Skin/Body,Asia,Hair Dye,Elizabeth Arden,Toner,2496170,57,0,7,6,15
Fragrance + Color Cosmetics,South America,Make Up Brushes,Bobbi Brown,Lipstick,2285559,50,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Bobbi Brown,Bronzer,1356047,59,-1,3,7,14
Skin/Body,Asia,Hair Dye,Elizabeth Arden,Lipstick,1345474,50,0,7,6,15
Fragrance + Color Cosmetics,North America,Face Make-Up,Frederic Malle,Mascara,3751128,40,-3,4,5,40
Hair/APDO,Asia,Fragrance,Aveda,Bronzer,3031086,40,0,15,4,30
Hair/APDO,South America,Fragrance,Bobbi Brown,Fragrance,4257985,45,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Elizabeth Arden,Lipstick,3150235,49,0,7,6,15
Skin/Body,Asia,Face Make-Up,Bobbi Brown,Mascara,3446862,54,-1,3,7,14
Fragrance + Color Cosmetics,South America,Tools,Balmain,Lipstick,943316,50,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Bobbi Brown,Lipstick,3744424,36,-1,3,7,14
Hair/APDO,Asia,Tools,Frederic Malle,Toner,3980826,30,-3,4,4,30
Hair/APDO,South America,Face Make-Up,Balmain,Mascara,3062605,53,0,15,4,30
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Aveda,Toner,1521469,48,-5,15,5,40
Hair/APDO,Europe,Face Make-Up,Bobbi Brown,Lipstick,963001,54,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Balmain,Toner,739017,32,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Bobbi Brown,Fragrance,1576941,36,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Lipstick,1889330,57,-1,3,7,14
Hair/APDO,Asia,Tools,Aveda,Bronzer,3443295,37,0,15,4,30
Skin/Body,Asia,Make Up Brushes,Kilian,Toner,2058242,50,-5,15,5,40
Skin/Body,South America,Fragrance,Bobbi Brown,Toner,1729787,33,-1,3,7,14
Fragrance + Color Cosmetics,North America,Tools,Elizabeth Arden,Lipstick,4125654,53,0,7,6,15
Skin/Body,Europe,Fragrance,Elizabeth Arden,Bronzer,1352746,32,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Aveda,Fragrance,901067,45,-5,15,5,40
Skin/Body,North America,Tools,Kilian,Fragrance,1504001,38,-5,15,5,40
Skin/Body,Asia,Tools,Bobbi Brown,Bronzer,2399054,43,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Frederic Malle,Bronzer,3334837,58,-3,4,4,30
Skin/Body,South America,Make Up Brushes,Kilian,Fragrance,3270742,48,-5,15,5,40
Hair/APDO,Asia,Make Up Brushes,Bobbi Brown,Bronzer,770914,42,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Toner,2246688,52,-3,4,5,40
Hair/APDO,Europe,Fragrance,Frederic Malle,Lipstick,2888229,58,-3,4,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Bobbi Brown,Mascara,1853324,30,-1,3,7,14
Skin/Body,South America,Face Make-Up,Aveda,Bronzer,4896720,53,-5,15,5,40
Skin/Body,North America,Fragrance,Elizabeth Arden,Lipstick,1249971,59,0,7,6,15
Skin/Body,Europe,Tools,Aveda,Lipstick,1842057,59,-5,15,5,40
Hair/APDO,Europe,Fragrance,Kilian,Fragrance,2892919,46,0,15,4,30
Skin/Body,South America,Face Make-Up,Kilian,Fragrance,3202994,40,-5,15,5,40
Hair/APDO,North America,Tools,Kilian,Bronzer,4214379,48,0,15,4,30
Skin/Body,North America,Tools,Bobbi Brown,Fragrance,4400379,45,-1,3,7,14
Fragrance + Color Cosmetics,North America,Fragrance,Balmain,Fragrance,4498422,44,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Frederic Malle,Mascara,4908285,31,-3,4,5,40
Skin/Body,South America,Make Up Brushes,Frederic Malle,Fragrance,3155982,48,-3,4,5,40
Skin/Body,North America,Make Up Brushes,Frederic Malle,Toner,1872070,44,-3,4,5,40
Fragrance + Color Cosmetics,South America,Tools,Kilian,Mascara,4950252,31,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Balmain,Lipstick,606022,54,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Aveda,Mascara,661445,58,0,15,4,30
Hair/APDO,Asia,Hair Dye,Kilian,Lipstick,1010370,59,0,15,4,30
Hair/APDO,North America,Tools,Frederic Malle,Fragrance,708944,50,-3,4,4,30
Hair/APDO,South America,Fragrance,Kilian,Bronzer,1697162,50,0,15,4,30
Fragrance + Color Cosmetics,Asia,Face Make-Up,Aveda,Lipstick,2279685,50,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Bobbi Brown,Mascara,4385250,32,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Frederic Malle,Toner,828821,54,-3,4,4,30
Skin/Body,Asia,Hair Dye,Bobbi Brown,Fragrance,568803,36,-1,3,7,14
Skin/Body,Asia,Fragrance,Kilian,Bronzer,745404,48,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Bobbi Brown,Toner,3526394,40,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Fragrance,1115863,37,-5,15,5,40
Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Fragrance,1328791,47,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Aveda,Bronzer,876794,55,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Elizabeth Arden,Toner,1282877,58,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Aveda,Fragrance,3799973,39,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Kilian,Fragrance,1350350,42,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Aveda,Bronzer,4696656,34,-5,15,5,40
Skin/Body,Europe,Tools,Elizabeth Arden,Fragrance,3328630,56,0,7,6,15
Hair/APDO,South America,Hair Dye,Frederic Malle,Fragrance,4824848,48,-3,4,4,30
Skin/Body,Europe,Make Up Brushes,Aveda,Bronzer,2172795,40,-5,15,5,40
Hair/APDO,Asia,Tools,Balmain,Fragrance,2006145,44,0,15,4,30
Hair/APDO,Asia,Face Make-Up,Aveda,Lipstick,2042247,32,0,15,4,30
Fragrance + Color Cosmetics,North America,Hair Dye,Balmain,Fragrance,3104884,36,-5,15,5,40
Skin/Body,North America,Tools,Bobbi Brown,Toner,1288140,60,-1,3,7,14
Hair/APDO,Asia,Tools,Elizabeth Arden,Toner,2118963,36,0,7,6,15
Skin/Body,Europe,Hair Dye,Bobbi Brown,Lipstick,2727503,48,-1,3,7,14
Fragrance + Color Cosmetics,South America,Hair Dye,Bobbi Brown,Toner,1409245,30,-1,3,7,14
Hair/APDO,South America,Face Make-Up,Balmain,Lipstick,1972178,48,0,15,4,30
Skin/Body,Europe,Face Make-Up,Frederic Malle,Bronzer,2881486,48,-3,4,5,40
Hair/APDO,South America,Make Up Brushes,Aveda,Toner,625438,45,0,15,4,30
Skin/Body,Asia,Make Up Brushes,Aveda,Lipstick,2699391,46,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Balmain,Fragrance,4064462,42,0,15,4,30
Fragrance + Color Cosmetics,North America,Hair Dye,Elizabeth Arden,Fragrance,717770,51,0,7,6,15
Hair/APDO,Europe,Hair Dye,Frederic Malle,Fragrance,3202882,45,-3,4,4,30
Fragrance + Color Cosmetics,North America,Face Make-Up,Balmain,Mascara,2681913,37,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Kilian,Bronzer,902980,54,-5,15,5,40
Skin/Body,South America,Tools,Aveda,Fragrance,1949087,57,-5,15,5,40
Skin/Body,South America,Fragrance,Bobbi Brown,Toner,4316126,31,-1,3,7,14
Hair/APDO,North America,Hair Dye,Elizabeth Arden,Bronzer,1797991,59,0,7,6,15
Hair/APDO,Europe,Make Up Brushes,Aveda,Fragrance,1485132,31,0,15,4,30
Skin/Body,South America,Face Make-Up,Elizabeth Arden,Mascara,3181206,37,0,7,6,15
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Bronzer,3232481,31,0,7,6,15
Fragrance + Color Cosmetics,North America,Make Up Brushes,Frederic Malle,Toner,3960989,37,-3,4,5,40
Hair/APDO,South America,Tools,Aveda,Lipstick,2750397,46,0,15,4,30
Skin/Body,North America,Tools,Balmain,Fragrance,1972542,48,-5,15,5,40
Skin/Body,South America,Hair Dye,Frederic Malle,Bronzer,2098099,37,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Bobbi Brown,Bronzer,4398190,50,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Aveda,Toner,3084182,52,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Frederic Malle,Mascara,769160,60,-3,4,4,30
Skin/Body,South America,Fragrance,Kilian,Mascara,1337393,58,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Frederic Malle,Lipstick,3635812,35,-3,4,5,40
Skin/Body,Asia,Tools,Bobbi Brown,Toner,4189024,54,-1,3,7,14
Hair/APDO,South America,Fragrance,Balmain,Mascara,4579441,41,0,15,4,30
Hair/APDO,South America,Tools,Balmain,Lipstick,2067343,35,0,15,4,30
Hair/APDO,North America,Fragrance,Frederic Malle,Mascara,4494528,58,-3,4,4,30
Hair/APDO,North America,Hair Dye,Aveda,Fragrance,2088236,40,0,15,4,30
Skin/Body,North America,Make Up Brushes,Balmain,Lipstick,3175480,33,-5,15,5,40
Fragrance + Color Cosmetics,North America,Tools,Bobbi Brown,Toner,3401092,48,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Kilian,Toner,3388939,44,-5,15,5,40
Skin/Body,Asia,Fragrance,Aveda,Mascara,3672382,34,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Kilian,Toner,4352256,51,-5,15,5,40
Skin/Body,South America,Tools,Aveda,Mascara,3610691,38,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Elizabeth Arden,Bronzer,3075508,41,0,7,6,15
Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Fragrance,664074,57,-1,3,7,14
Hair/APDO,North America,Fragrance,Kilian,Mascara,562507,50,0,15,4,30
Hair/APDO,North America,Hair Dye,Elizabeth Arden,Fragrance,4418949,34,0,7,6,15
Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Mascara,3408056,32,-1,3,7,14
Hair/APDO,South America,Fragrance,Bobbi Brown,Bronzer,1561404,53,-1,3,7,14
Hair/APDO,North America,Make Up Brushes,Frederic Malle,Bronzer,3035232,55,-3,4,4,30
Hair/APDO,Asia,Fragrance,Bobbi Brown,Mascara,2863162,41,-1,3,7,14
Fragrance + Color Cosmetics,North America,Hair Dye,Balmain,Lipstick,923332,31,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Kilian,Lipstick,2142425,52,-5,15,5,40
Hair/APDO,Asia,Fragrance,Elizabeth Arden,Bronzer,4676426,45,0,7,6,15
Skin/Body,Asia,Tools,Bobbi Brown,Toner,879039,38,-1,3,7,14
Hair/APDO,Asia,Fragrance,Kilian,Fragrance,1278883,51,0,15,4,30
Hair/APDO,North America,Fragrance,Aveda,Mascara,3698156,31,0,15,4,30
Hair/APDO,Asia,Make Up Brushes,Frederic Malle,Bronzer,4268950,55,-3,4,4,30
Skin/Body,Asia,Make Up Brushes,Frederic Malle,Toner,3706943,44,-3,4,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Balmain,Mascara,3050982,41,-5,15,5,40
Fragrance + Color Cosmetics,North America,Hair Dye,Kilian,Mascara,1244748,56,-5,15,5,40
Hair/APDO,South America,Tools,Aveda,Bronzer,1797819,44,0,15,4,30
Hair/APDO,South America,Fragrance,Kilian,Bronzer,2096853,35,0,15,4,30
Skin/Body,South America,Fragrance,Elizabeth Arden,Mascara,4016144,55,0,7,6,15
Fragrance + Color Cosmetics,North America,Make Up Brushes,Bobbi Brown,Lipstick,4377809,40,-1,3,7,14
Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Mascara,789220,50,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Elizabeth Arden,Mascara,4499453,43,0,7,6,15
Hair/APDO,Europe,Tools,Bobbi Brown,Fragrance,2737035,40,-1,3,7,14
Skin/Body,North America,Face Make-Up,Aveda,Mascara,4411147,40,-5,15,5,40
Fragrance + Color Cosmetics,North America,Make Up Brushes,Balmain,Bronzer,2321367,45,-5,15,5,40
Hair/APDO,Europe,Fragrance,Bobbi Brown,Toner,1849590,34,-1,3,7,14
Hair/APDO,Europe,Hair Dye,Frederic Malle,Bronzer,1969793,41,-3,4,4,30
Skin/Body,South America,Face Make-Up,Aveda,Mascara,1426215,31,-5,15,5,40
Skin/Body,Europe,Make Up Brushes,Elizabeth Arden,Lipstick,3011910,40,0,7,6,15
Skin/Body,South America,Make Up Brushes,Frederic Malle,Fragrance,2150824,51,-3,4,5,40
Skin/Body,Europe,Make Up Brushes,Aveda,Bronzer,1192137,57,-5,15,5,40
Hair/APDO,South America,Tools,Frederic Malle,Bronzer,2157153,37,-3,4,4,30
Hair/APDO,Asia,Face Make-Up,Elizabeth Arden,Fragrance,2306684,56,0,7,6,15
Hair/APDO,Asia,Tools,Aveda,Mascara,2795936,33,0,15,4,30
Skin/Body,North America,Fragrance,Balmain,Bronzer,2040724,49,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Toner,4562224,55,-5,15,5,40
